MANDT,MSEHI,KZEX3,KZEX6,ANDEC,KZKEH,KZWOB,KZ1EH,KZ2EH,DIMID,ZAEHL,NENNR,EXP10,ADDKO,EXPON,DECAN,ISOCODE,PRIMARY,TEMP_VALUE,TEMP_UNIT,FAMUNIT,PRESS_VAL,PRESS_UNIT
900,GLI,X,X,0,X,,,,DENSI,1,1,0,0,0,0,GL,,0.00E+00,,,0.00E+00,
900,GLL,X,X,0,X,,,,VOLUME,3785344,1,-9,0,0,0,GLL,,0.00E+00,,,0.00E+00,
900,GLM,X,X,3,X,,,,SURFAC,473168,201168,-6,0,0,0,,,0.00E+00,,,0.00E+00,
900,GM,X,X,0,X,,,,MOLMAS,1,1000,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,GM2,X,X,0,X,,,,MASSBD,1,1000,0,0,0,0,GM,,0.00E+00,,,0.00E+00,
900,GPH,X,X,3,X,,,,VOLFLO,3785344,3600,-9,0,0,0,,,0.00E+00,,,0.00E+00,
900,GQ,X,X,0,X,,,,DENSI,1,1,-9,0,0,0,GQ,,0.00E+00,,,0.00E+00,
900,GRO,X,X,0,X,,,,AAAADL,1,1,0,0,0,0,GRO,X,0.00E+00,,,0.00E+00,
900,GT,X,X,0,,,,,MPROPO,1,1000,-3,0,0,0,,,0.00E+00,,,0.00E+00,
900,GW,X,X,0,X,,,,AAAADL,1,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,H,,,3,X,,,,TIME,3600,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,HAR,X,X,0,X,,,,SURFAC,10000,1,0,0,0,0,HAR,,0.00E+00,,,0.00E+00,
900,HL,X,X,3,X,,,,VOLUME,1,10,0,0,0,0,HLT,X,0.00E+00,,,0.00E+00,
900,HPA,X,X,0,,,,,PRESS,100,1,0,0,0,0,A97,,0.00E+00,,,0.00E+00,
900,HZ,X,X,0,,,,,FREQU,1,1,0,0,0,0,HTZ,X,0.00E+00,,,0.00E+00,
900,IN,X,X,3,X,,,,LENGTH,127,5000,0,0,0,0,INH,X,0.00E+00,,,0.00E+00,
900,IN2,X,X,0,X,,,,SURFAC,125,193752,0,0,0,0,INK,,0.00E+00,,,0.00E+00,
900,IN3,X,X,0,X,,,,VOLUME,16387,1,-9,0,0,0,INQ,,0.00E+00,,,0.00E+00,
900,J,X,X,0,,,,,ENERGY,1,1,0,0,0,0,JOU,X,0.00E+00,,,0.00E+00,
900,JHR,X,X,0,X,,,,TIME,31536000,1,0,0,0,0,ANN,X,0.00E+00,,,0.00E+00,
900,JKG,X,X,0,X,,,,SPENER,1,1,0,0,0,0,J2,,0.00E+00,,,0.00E+00,
900,JKK,X,X,0,X,,,,SPHCAP,1,1,0,0,0,0,B11,,0.00E+00,,,0.00E+00,
900,JMO,X,X,0,X,,,,MOENER,1,1,0,0,0,0,B15,,0.00E+00,,,0.00E+00,
900,K,X,X,0,,,,,TEMP,1,1,0,0,0,0,KEL,X,0.00E+00,,,0.00E+00,
900,KA,X,X,0,,,,,ECURR,1000,1,0,0,0,0,B22,,0.00E+00,,,0.00E+00,
900,KAN,X,X,0,X,,,,AAAADL,1,1,0,0,0,0,CA,X,0.00E+00,,,0.00E+00,
900,KAR,X,X,0,X,,,,AAAADL,1,1,0,0,0,0,CT,X,0.00E+00,,,0.00E+00,
900,KBK,X,X,0,,,,,SPARAD,1000,1,0,0,0,0,B25,,0.00E+00,,,0.00E+00,
900,KG,X,X,3,X,,,,MASS,1,1,0,0,0,0,KGM,X,0.00E+00,,,0.00E+00,
900,KGF,X,X,0,,,,,MASSBD,1,1,0,0,0,0,28,,0.00E+00,,,0.00E+00,
900,KGH,X,X,0,,,,,MASFLO,1,3600,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,KGK,X,X,0,,,,,MPROPO,1,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,KGM,X,X,0,X,,,,MOLMAS,1,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
